"comunidad","year","roe","margen","rotacion","gastosfin","cobertura","cobro","pago","crecimiento","solvencia","liquidez","ingresosemp","costeemp","beneficioemp","ventas","gastosfinancieros","gastospersonal","resultadoejercicio","activo","inmovilizado","activocorriente","patrimonioneto","deudaslargoplazo","deudascortoplazo","fondomaniobra"
"ESPANA",1997,18.07,1.35,1.9,0.01,2.02,72.64,46.1,16.16,22.02,1.15,89.46,18.18,1.33,33404514.04,1434278.34,6352487.34,1459848.87,43828449.06,29964576.69,13863854.47,17195687.39,9404329.77,2518431.95,7216054.46
"ESPANA",1998,21.3,1.54,1.9,0.01,2.41,72.14,41.86,18.7,21.29,1.14,87.67,18.02,1.45,40175886.21,1197145.65,7302827.21,1951161.39,55850811.98,37264749.07,18586024.22,20094940.27,11096832.95,4053970.89,9009742.74
"ESPANA",1999,22.51,1.58,1.87,0.01,2.7,73.24,42.71,16.85,21.05,1.14,86.53,18.62,1.56,49707056.94,1986079.22,8400861.5,955823.74,82945130.76,55394296.62,27550813.42,26888675.18,24276082.98,3257799.94,11043765.05
"ESPANA",2000,19.49,1.3,1.8,0.01,2.31,74.27,50.81,13.65,20.79,1.13,85.21,19.49,1.24,58071257.06,3247730.77,10025925.97,-2424982.3,145386371.56,86280790.9,59105599.77,49455322.35,35315129.27,6369169.63,16956503.62
"ESPANA",2001,18.72,1.17,1.8,0.01,2.05,70.06,39.44,10.61,21.17,1.13,80.77,20.17,1.07,66618520.76,4762385.06,11229150.93,-2114332.14,178235701.59,119191919.62,59043793.09,65823408.84,47380829.65,6323611.89,15332474.61
"ESPANA",2002,16.39,0.93,1.72,0.01,1.9,69.2,39.54,4.44,20.94,1.12,78,20.32,0.78,68099699.47,7454939.8,11821943.12,-16260065.25,170893224.44,125324833.77,45567391.69,53440708.06,63204440.28,5676062.87,13104938.6
"ESPANA",2003,15.72,1.02,1.71,0,2.03,68.36,38.45,6.72,21.19,1.13,79.98,20.9,0.85,72711786.88,6307317.85,11925586.42,4553901.37,166713547.02,125127057.56,41586488.58,54719080.61,62394333.21,3659152.78,13098583.66
"ESPANA",2004,15.62,1.1,1.69,0,2.28,70.09,40.55,6.99,21.2,1.15,83.35,21.94,1.01,78261596.88,4777164.27,12088252.23,5784376.97,177766534.1,132707738.33,45058794.91,54538815.79,64922161.37,6769746,12913019.45
"ESPANA",2005,15.51,1.12,1.66,0,2.33,71.63,42.63,8.28,20.19,1.15,85.99,22.32,1.06,82724722.89,5681078.56,12658519.6,5119706.36,181896807.45,129168279.02,52728528.49,55542491.19,56815073.95,6236474.53,13129720.79
"ESPANA",2006,16.62,1.36,1.64,0,2.49,72.46,41.7,9.4,20.46,1.17,90.21,23.36,1.31,92375080.88,5964199.88,13719686,11499613.14,204700667.7,153352061.63,51348606.19,60643823.07,77079202.46,4566331.1,14984947.38
"ESPANA",2007,18.13,1.65,1.68,0.01,2.66,74.78,49.16,7.51,22.44,1.21,96.11,24.78,1.73,100486870.15,6142987.18,14995696.14,12078764.42,209448616.6,148719078.11,60730538.53,62717017.58,67968242.1,3510814.31,14301744.27
"ESPANA",2008,14.09,1.34,1.6,0.01,2.08,65.48,34.25,-1.7,24.9,1.23,85.76,25.59,1.23,101421989.69,6294018.45,16016927.19,3939646.83,207969441.86,151068969.4,56902117.06,65205916.74,71131483.25,4739354.1,16810912.63
"ESPANA",2009,9.94,0.89,1.42,0.01,1.6,70.28,36.5,-11.12,26.03,1.27,77.69,26.18,0.74,98679975.47,4323146.83,16226747.06,14731810.94,196953529.26,146864552.32,50088976.06,69859687.23,68931785.76,3703047.87,17120548.84
"ESPANA",2010,9.08,1.01,1.42,0.01,1.88,70.43,35.08,-0.64,27,1.31,80.96,26.89,0.87,98920357.68,4005021.64,16543978.13,7310513.24,198340815.86,153515839.11,44823694.22,67438771.6,65396574.1,3823289.26,16173042.72
"ESPANA",2011,7.22,0.8,1.37,0.01,1.61,69.52,33,-3.78,28.88,1.34,79.85,27.62,0.67,93511304.1,4274995.96,18821179.73,7995691.77,195144899.29,154095587.16,41047445.35,65951433.69,67459782.08,3094173.77,15066966.24
"ESPANA",2012,,,,,,,,,,,,,,,,,,,,,,,,
